geoid,ncessch,school_name,street_location,city_location,enrollment,school_level,school_type,school_age_kids_in_tract,scl_pct_nonwhite,tract_pct_nonwhite,market_share_total,percent_frl_eligible,meps_poverty_pct,student_teacher_ratio,test_sfh_pct,median_gross_rent,median_owner_cost_mortgage,percent_owner_occupied,percent_renter_occupied
37119001910,370297001186,Albemarle Road Elementary,7800 Riding Trail Rd,Charlotte,755,Primary,Regular school,1782,98.1,89,0.17634252539912915,98,32.3,14.8,47,992,1160,43,57
37119001910,370297001187,Albemarle Road Middle,6900 Democracy Drive,Charlotte,897,Middle,Regular school,1782,95.3,89,0.17634252539912915,100,33.3,15.7,47,992,1160,43,57
37119002909,370297001188,Alexander Graham Middle,1800 Runnymede Lane,Charlotte,1270,Middle,Regular school,383,61.9,12.4,0.0875,28,0.8,17.9,20,1632,2325,31,69
37119004304,370297001190,Allenbrook Elementary,1430 Allenbrook Dr,Charlotte,242,Primary,Regular school,1531,96.3,94.3,0.12583518930957685,99,32.7,12.7,77,991,1101,54,46
37119005863,370297002910,Ardrey Kell High School,10220 Ardrey Kell Road,Charlotte,3494,High,Regular school,1243,51.3,36.7,0.1820253164556962,5,0.3,21.3,78,1832,1964,71,29
37119004000,370297001192,Ashley Park PreK-8 School,2401 Belfast Dr,Charlotte,365,Primary,Regular school,1199,99.5,85.6,0.1504046762589928,98,33.2,10.7,66,1073,886,46,54
37119006409,370297002870,Bailey Middle,11900 Bailey Rd,Cornelius,1370,Middle,Regular school,578,33.2,7.7,0.11147433801896044,10,4.6,17.3,59,1221,2120,72,28
37119005714,370297001193,Bain Elementary,11540 Bain School Rd,Mint Hill,932,Primary,Regular school,1219,38.1,20.1,0.11529066927210552,12,7.8,16.4,97,1398,2012,93,7
37119005858,370297003026,Ballantyne Elementary,15425 Scholastic Dr,Charlotte,880,Primary,Regular school,1570,67,55.6,0.2517023346303502,10,5.5,16,35,1752,1598,41,59
37119006222,370297003023,Barnette Elementary,13659 Beatties Ford Rd,Huntersville,700,Primary,Regular school,1105,46.9,20.7,0.0946969696969697,13,6.3,16.3,98,784,1740,92,8
37119005920,370297003103,Berewick Elementary,5910 Dixie River Rd,Charlotte,675,Primary,Regular school,1115,89.6,68.4,0.20821114369501467,28,13.1,15.3,44,790,1334,44,56
37119005920,370297001195,Berryhill School,10501 Windy Grove Rd,Charlotte,427,Primary,Regular school,1115,91.3,68.4,0.20821114369501467,99,32.3,11.9,44,790,1334,44,56
37119003006,370297001196,Beverly Woods Elementary,6001 Quail Hollow Rd,Charlotte,603,Primary,Regular school,949,33.5,16.3,0.11895991332611051,9,0.7,14.7,45,1518,2036,66,34
37119002300,370297001201,Billingsville Elementary,124 Skyland Ave,Charlotte,320,Primary,Regular school,1401,64.7,97.7,0.19518298404754456,43,26.5,12.3,30,908,930,20,80
37119006306,370297002397,Blythe Elementary,12202 Hambright Rd,Huntersville,856,Primary,Regular school,235,88.3,23.5,0.13009292351679771,29,15.1,16.2,98,NA,1605,93,7
37119001509,370297001198,Briarwood Academy,1001 Wilann Dr,Charlotte,679,Primary,Regular school,1581,96.5,96.5,0.10756972111553784,100,32.8,16.6,71,1100,1044,67,33
37119004102,370297001253,Bruns Avenue Elementary,501 S. Bruns Ave,Charlotte,308,Primary,Regular school,448,97.4,60.9,0.03969359331476323,99,33.5,11.8,36,1466,2150,45,55
37119005712,370297002324,Butler High School,1810 Matthews-Mint Hill Rd,Matthews,1965,High,Regular school,749,68.1,17,0.1258296460176991,21,11,18.9,97,1453,1444,90,10
37119003020,370297001200,Carmel Middle,5001 Camilla Dr,Charlotte,1159,Middle,Regular school,1155,51.4,5.7,0.08207041268360923,21,3.1,17.3,90,NA,3391,96,4
37119005616,370297003000,Cato Middle College High School,8120 Grier Rd   Suite 171-B,Charlotte,166,High,Regular school,893,82.5,71.3,0.13499184339314846,19,11.2,41.5,77,1744,1122,61,39
37119001801,370297002782,Chantilly Montessori,701 Briar Creek Rd,Charlotte,302,Primary,Regular school,219,34.1,39.9,0.11778115501519756,6,8.2,15.9,49,1012,1426,27,73
37119005604,370297003315,Char Eng Early College-UNCC,9000 Robert Snyder Rd,Charlotte,299,High,Regular school,38,73.2,45.2,0.03624208304011259,18,12.7,21.4,25,826,1333,21,79
37119004800,370297003405,Char-Meck Virtual High School,1900 Newcastle St,Charlotte,795,High,Regular school,589,81.8,96.3,0.1537966537966538,34,NA,46.8,75,926,783,38,62
37119003902,370297001194,Charles H. Parker Academic Center,1546 Walton Rd,Charlotte,473,Primary,Regular school,1323,91.8,96.6,0.17055837563451776,99,34,12.8,51,945,922,34,66
37119001607,370297003467,Charlotte East Language Academy,6108 Wilora Lake Rd,Charlotte,743,Primary,Regular school,1326,95.3,83,0.17231537638244737,99,34.5,12.8,26,1136,1228,22,78
37119005604,370297003418,Charlotte Teacher Early College,9000 Robert D. Snyder Rd,Charlotte,206,High,Regular school,38,86.4,45.2,0.03624208304011259,27,12.3,41.2,25,826,1333,21,79
37119005405,370297002169,Charlotte-Mecklenburg Academy,5833 Millhaven Lane,Charlotte,74,Other,Special education school,658,78.4,94.7,0.21132208157524612,96,21.2,3.4,75,1252,1014,64,36
37119003810,370297003611,Charlotte-Mecklenburg Virtual Elementary,1900 Newcastle St,Charlotte,864,Primary,Regular school,1360,90.5,89.3,0.14246459522299726,32,NA,24.7,46,1264,951,32,68
37119003810,370297003612,Charlotte-Mecklenburg Virtual Middle,1900 Newcastle St,Charlotte,946,Middle,Regular school,1360,90,89.3,0.14246459522299726,41,NA,49.8,46,1264,951,32,68
37119005621,370297001202,Clear Creek Elementary,13501 Albemarle Rd,Charlotte,462,Primary,Regular school,1766,76.4,51.1,0.085704831237591,33,16.3,16.5,92,1537,1445,79,21
37119001507,370297001203,Cochrane Collegiate Academy,6200 Starhaven Dr,Charlotte,890,High,Regular school,2599,97.4,93.9,0.1823329558323896,100,34,16.2,31,1046,998,21,79
37119003102,370297001204,Collinswood Language Academy,5621 Flagstaff Drive,Charlotte,789,Primary,Regular school,604,76.2,39.8,0.12087912087912088,14,17.2,15.8,48,1184,1688,43,57
37119005843,370297002783,Community House Middle,9500 Community House Rd,Charlotte,1498,Middle,Regular school,881,60.2,52.2,0.1757188498402556,6,1.4,17.8,72,1862,2031,75,25
37119006411,370297001205,Cornelius Elementary,21126 Catawba Ave,Cornelius,554,Primary,Regular school,925,36.8,44,0.147459315841913,18,9.5,15,73,1146,1393,69,31
37119002201,370297001206,Cotswold Elementary,300 Greenwich Rd,Charlotte,391,Primary,Regular school,763,66.8,21.7,0.13816280806572068,43,24.5,14.5,54,1207,2718,57,43
37119006015,370297001207,Coulwood STEM Academy,500 Kentberry Dr,Charlotte,625,Middle,Regular school,982,96.3,57.2,0.13298254006218607,100,30.7,13.9,94,1767,1318,86,14
37119005866,370297002394,Crestdale Middle,940 Sam Newell Rd,Matthews,988,Middle,Regular school,619,53.2,59.3,0.11417513304305756,18,10.2,18.3,0,1257,957,2,98
37119005508,370297003034,Croft Community School,4911 Hucks Rd,Charlotte,420,Primary,Regular school,888,87.1,51.1,0.10043562439496612,36,12.9,16.8,94,1734,1581,82,18
37119005723,370297000813,Crown Point Elementary,3335 Sam Newell Rd,Matthews,529,Primary,Regular school,762,78.4,67,0.17834774828511782,35,17.2,16.5,29,1308,1161,35,65
37119005511,370297000868,David Cox Road Elementary,4215 David Cox Rd,Charlotte,697,Primary,Regular school,615,95.6,77.9,0.14054514480408858,100,29.2,16.6,11,1280,1245,32,68
37119006403,370297001208,Davidson K-8 School,635 South St,Davidson,1103,Primary,Regular school,710,24.9,28,0.08344996501049685,5,2.4,16.7,64,1255,2189,74,26
37119001507,370297001210,Devonshire Elementary,6500 Barrington Dr,Charlotte,544,Primary,Regular school,2599,97.4,93.9,0.1823329558323896,99,32.6,13.9,31,1046,998,21,79
37119003204,370297001268,Dilworth Elem Sedgefield Campus,715 Hartford Ave,Charlotte,346,Primary,Regular school,423,34.1,18.6,0.0971023427866831,13,13.1,14.4,44,1340,1998,66,34
37119003500,370297003172,Dilworth Elementary School: Latta Campus,405 E. Park Ave,Charlotte,264,Primary,Regular school,237,34.1,10.7,0.06394913986537024,17,0,13.2,33,1631,2608,61,39
37119005100,370297001213,Druid Hills Academy,2801 Lucena Ave,Charlotte,299,Primary,Regular school,208,99.7,89.9,0.13330258302583026,99,34.2,9.1,62,915,821,30,70
37119001914,370297001214,East Mecklenburg High School,6800 Monroe Rd,Charlotte,2141,High,Regular school,1109,81,64,0.12698801076584293,29,17.9,18.1,59,964,1348,39,61
37119002800,370297001215,Eastover Elementary,500 Cherokee Rd,Charlotte,356,Primary,Regular school,1031,34.3,2.5,0.0552415210688592,22,1.5,14.2,80,NA,4001,94,6
37119001702,370297001216,Eastway Middle,1501 Norland Rd,Charlotte,848,Middle,Regular school,2696,95.4,75,0.13512731481481485,100,32.3,15.4,44,1024,1272,38,62
37119005833,370297001881,Elizabeth Lane Elementary,121 Elizabeth Ln,Matthews,803,Primary,Regular school,1028,32.3,20.6,0.0982516153553782,4,2.7,14.9,72,2865,1895,77,23
37119002500,370297001217,Elizabeth Traditional Elem,1601 Park Dr,Charlotte,450,Primary,Regular school,226,90.7,19.4,0.03569772832637923,43,11.6,14.1,15,1482,2970,26,74
37119005858,370297002826,Elon Park Elementary,11425 Ardrey Kell Rd,Charlotte,835,Primary,Regular school,1570,58.7,55.6,0.2517023346303502,3,1,15.5,35,1752,1598,41,59
37119005839,370297002675,Endhaven Elementary,6815 Endhaven Ln,Charlotte,640,Primary,Regular school,486,61.6,32.3,0.10518053375196232,15,7.4,16,46,1262,1963,46,54
37119000600,370297001211,First Ward Creative Arts Acad,715 N. Caldwell St,Charlotte,528,Primary,Regular school,505,95.1,56.5,0.06901561932437342,99,32.6,13.2,7,1351,2048,24,76
37119006222,370297002395,Francis Bradley Middle,13345 Beatties Ford Rd,Huntersville,1075,Middle,Regular school,1105,63.2,20.7,0.0946969696969697,20,9,17.6,98,784,1740,92,8
37119001300,370297003245,Garinger High School,1100 Eastway Dr,Charlotte,1643,High,Regular school,581,96.4,53.5,0.08103087996285117,100,31.3,16,64,1072,1851,47,53
37119005536,370297001886,Gov's Village STEM (Lower),7910 Neal Rd,Charlotte,852,Primary,Regular school,854,96.7,69.6,0.12183908045977011,44,33.1,15.8,44,1440,1172,43,57
37119005536,370297002396,Gov's Village STEM (Upper),7810 Neal Rd,Charlotte,760,Middle,Regular school,854,97.6,69.6,0.12183908045977011,42,30.1,18.1,44,1440,1172,43,57
37119006211,370297003273,Grand Oak Elementary,15410 Stumptown Rd,Huntersville,456,Primary,Regular school,1871,27.4,17.2,0.0985334555453712,9,4.6,13.8,91,1464,2036,90,10
37119001927,370297001598,Greenway Park Elementary,8301 Monroe Rd,Charlotte,544,Primary,Regular school,817,89.7,88.3,0.16061185468451242,99,32.2,13.3,0,1115,NA,0,100
37119004000,370297001221,Harding University High School,2001 Alleghany St,Charlotte,1619,High,Regular school,1199,98.3,85.6,0.1504046762589928,100,33.2,17.8,66,1073,886,46,54
37119005916,370297003313,Harper Middle College High,315 W Hebron St,Charlotte,164,High,Regular school,799,66.5,94.1,0.17967830521773245,4,11.9,32.8,42,1128,1009,29,71
37119005843,370297002471,Hawk Ridge Elementary,9201 Bryant Farms Rd,Charlotte,698,Primary,Regular school,881,56.3,52.2,0.1757188498402556,9,2.4,14.5,72,1862,2031,75,25
37119000800,370297002228,Hawthorne Academy of Health Sciences,1411 Hawthorne Ln,Charlotte,307,High,Regular school,646,96.1,75,0.11367435640254096,32,20.4,17.1,44,1051,1512,46,54
37119001922,370297001223,Hickory Grove Elementary,6709 Pence Rd,Charlotte,620,Primary,Regular school,1973,97.3,77.7,0.1453488372093023,100,32.5,17.2,87,1187,1271,69,31
37119005305,370297001224,Hidden Valley Elementary,5100 Snow White Ln,Charlotte,860,Primary,Regular school,1590,98.4,98.6,0.16655003498950316,100,31.8,14.6,69,1071,1025,39,61
37119005519,370297002877,Highland Creek Elementary,7242 Highland Creek Pkwy,Charlotte,412,Primary,Regular school,1943,63.6,61.5,0.1499742312317471,20,9.2,12.9,48,1334,1642,49,51
37119001400,370297002638,Highland Mill Montessori,3201 Clemson Ave,Charlotte,313,Primary,Regular school,551,63.3,46.1,0.06305578011317704,9,7.4,13.6,55,1518,1725,52,48
37119005301,370297001225,Highland Renaissance Academy,125 W Craighead Rd,Charlotte,381,Primary,Regular school,2150,96.6,89,0.11623290692545214,99,32.9,15.9,41,934,1217,29,71
37119006223,370297002593,Hopewell High School,11530 Beatties Ford Rd,Huntersville,1809,High,Regular school,806,74.2,35.5,0.1443130860171219,25,9.1,18.3,83,1844,1553,81,19
37119006109,370297002309,Hornets Nest Elementary,6700 Beatties Ford Rd,Charlotte,580,Primary,Regular school,748,97.4,87.3,0.09759481961147086,99,31.8,18.1,76,1033,1191,51,49
37119006309,370297001226,Huntersville Elementary,200 Gilead Rd,Huntersville,747,Primary,Regular school,577,37.6,36.2,0.1825136612021858,12,10,15.6,49,1066,1144,53,47
37119003105,370297001227,Huntingtowne Farms Elementary,2520 Huntingtowne Farms Ln,Charlotte,859,Primary,Regular school,687,89.8,10.7,0.07698391774321117,32,27.8,15.6,66,1488,1747,86,14
37119001919,370297001228,Idlewild Elementary,7101 Idlewild Rd,Charlotte,925,Primary,Regular school,1383,93.1,75.6,0.19454976303317537,100,34.4,15.2,63,970,1226,58,42
37119001917,370297001229,Independence High School,1967 Patriot Dr,Charlotte,1992,High,Regular school,1661,77.6,66.9,0.14531073446327683,26,16,16.5,77,1186,1095,50,50
37119000502,370297000682,Irwin Academic Center,329 N. Irwin Ave,Charlotte,390,Primary,Regular school,277,78.5,42.4,0.05070422535211268,15,13.1,16.2,0,1359,NA,8,92
37119005627,370297001231,J. H. Gunn Elementary,7400 Harrisburg Rd,Charlotte,609,Primary,Regular school,3053,96.4,75.7,0.17434519811954333,100,32.1,14.5,85,1456,1347,79,21
37119006306,370297001189,J. M. Alexander Middle,12010 Hambright Rd,Huntersville,856,Middle,Regular school,235,91,23.5,0.13009292351679771,34,14,17.5,98,NA,1605,93,7
37119006411,370297002891,J.V. Washam Elementary,9611 Westmoreland Rd,Cornelius,861,Primary,Regular school,925,31.4,44,0.147459315841913,12,4.7,15.9,73,1146,1393,69,31
37119005536,370297002325,James Martin Middle,6301 University Pointe Blvd,Charlotte,690,Middle,Regular school,854,95.4,69.6,0.12183908045977011,100,31,18.2,44,1440,1172,43,57
37119005845,370297002639,Jay M. Robinson Middle,5925 Ballantyne Commons Pkwy,Charlotte,1262,Middle,Regular school,1483,51.7,64.6,0.20979247730220493,5,0,17.5,55,1745,2165,62,38
37119005616,370297002676,Joseph W Grier Academy,8330 Grier Rd,Charlotte,693,Primary,Regular school,893,96,71.3,0.13499184339314846,100,32.3,15.4,77,1744,1122,61,39
37119005536,370297002326,Julius L. Chambers High School,7600 IBM Dr,Charlotte,2059,High,Regular school,854,97.6,69.6,0.12183908045977011,100,30.5,19.2,44,1440,1172,43,57
37119005928,370297001232,Kennedy Middle,4000 Gallant Ln,Charlotte,936,Middle,Regular school,263,88.7,58.7,0.16517590936195586,27,17,18.7,94,NA,1235,85,15
37119005929,370297000614,Lake Wylie Elementary,13620 Erwin Rd,Charlotte,614,Primary,Regular school,914,89.9,62.8,0.10948905109489052,34,17.8,17.1,40,1617,1554,71,29
37119002004,370297001234,Lansdowne Elementary,6400 Prett Ct,Charlotte,481,Primary,Regular school,1459,64.9,48.7,0.09018708083303918,37,8.4,13.7,51,1309,1994,57,43
37119001609,370297003363,Lawrence Orr Elementary,4835 Shamrock Dr,Charlotte,750,Primary,Regular school,940,96.1,84.9,0.16101131071190952,100,33.1,17.4,40,1063,1223,40,60
37119005721,370297002266,Lebanon Road Elementary,7300 Lebanon Rd,Charlotte,730,Primary,Regular school,499,91.5,16.2,0.08143939393939394,99,31.4,16.2,71,2006,1462,72,28
37119005835,370297003318,Levine Middle College High Sch,2800 Campus Ridge Rd,Matthews,233,High,Regular school,691,43.3,14.6,0.13486590038314175,3,8.5,46.6,91,1100,1656,88,12
37119006105,370297001236,Long Creek Elementary,9213-A Beatties Ford Rd,Huntersville,496,Primary,Regular school,725,90.7,69.8,0.12630117973629423,39,16.4,12.1,97,1652,1558,72,28
