geoid,share_white_kids,share_black_kids,share_hispanic_kids,share_asian_kids,share_other_kids
37119000101,NA,NA,NA,NA,NA
37119000102,100,0,0,0,0
37119000103,71,0,29,0,0
37119000104,NA,NA,NA,NA,NA
37119000301,100,0,0,0,0
37119000302,27,73,0,0,0
37119000401,57,43,0,0,0
37119000402,100,0,0,0,0
37119000501,0,100,0,0,0
37119000502,57,43,0,0,0
37119000503,NA,NA,NA,NA,NA
37119000600,3,85,6,0,6
37119000700,0,100,0,0,0
37119000800,7,91,0,2,0
37119000900,29,59,12,0,0
37119001000,100,0,0,0,0
37119001100,100,0,0,0,0
37119001200,28,10,40,0,22
37119001300,34,39,15,0,12
37119001400,39,40,19,0,1
37119001504,6,50,15,15,13
37119001505,3,4,58,3,37
37119001507,3,20,49,0,29
37119001508,4,45,36,1,17
37119001509,0,59,29,3,11
37119001510,1,63,17,3,17
37119001603,10,33,40,1,21
37119001605,9,20,38,5,31
37119001606,5,21,36,9,33
37119001607,3,30,37,0,32
37119001608,4,31,37,10,22
37119001609,0,19,56,2,23
37119001701,5,29,37,0,29
37119001702,10,18,40,5,28
37119001801,38,60,0,2,0
37119001802,21,44,21,5,15
37119001910,0,19,49,11,26
37119001911,9,38,22,12,21
37119001914,24,31,26,11,10
37119001916,8,51,20,8,14
37119001917,15,17,41,3,27
37119001918,7,38,34,0,21
37119001919,10,15,41,8,30
37119001920,10,10,45,2,35
37119001921,13,29,33,13,13
37119001922,9,40,30,0,21
37119001923,8,26,38,0,32
37119001924,0,20,32,39,9
37119001925,4,56,18,4,18
37119001926,3,70,10,0,17
37119001927,0,29,44,0,32
37119002004,38,35,24,3,0
37119002005,54,18,14,19,0
37119002006,100,0,0,0,0
37119002007,31,39,0,30,0
37119002008,74,26,0,0,0
37119002100,72,22,5,0,2
37119002201,80,2,15,2,2
37119002202,90,0,8,2,0
37119002300,0,92,6,0,3
37119002400,93,7,0,0,0
37119002500,85,8,8,0,0
37119002600,86,4,0,2,8
37119002701,76,0,19,0,5
37119002702,87,0,6,7,1
37119002800,100,0,0,0,0
37119002903,96,0,0,4,0
37119002905,96,0,3,0,1
37119002907,57,5,8,30,0
37119002908,90,0,10,0,0
37119002909,82,0,0,18,0
37119002910,90,10,0,0,0
37119003006,82,1,9,8,0
37119003008,73,7,11,2,11
37119003012,60,29,7,1,3
37119003013,92,0,5,3,0
37119003015,81,4,11,3,0
37119003016,51,8,4,37,1
37119003017,82,11,6,1,0
37119003018,80,3,7,9,0
37119003019,98,2,0,0,0
37119003020,94,2,0,4,0
37119003021,91,1,4,4,0
37119003022,93,0,2,5,1
37119003102,28,9,37,0,26
37119003105,91,1,6,0,1
37119003106,17,17,60,2,9
37119003108,11,37,52,0,4
37119003109,3,25,71,0,8
37119003110,55,0,54,0,0
37119003111,100,0,0,0,0
37119003201,56,4,25,0,24
37119003203,79,21,2,0,0
37119003204,87,3,10,0,0
37119003301,65,0,24,0,24
37119003302,98,0,0,2,0
37119003401,74,0,26,0,0
37119003402,95,0,1,4,0
37119003500,79,0,8,14,0
37119003600,14,51,19,0,16
37119003701,31,69,0,0,0
37119003702,8,58,17,0,17
37119003802,0,72,20,0,8
37119003805,18,28,17,37,0
37119003807,1,26,60,0,16
37119003808,1,18,65,1,19
37119003809,10,43,24,8,22
37119003810,0,32,58,15,3
37119003811,0,88,12,0,0
37119003902,0,87,8,0,6
37119003903,1,65,19,5,10
37119004000,0,85,6,4,7
37119004101,12,88,0,0,0
37119004102,10,27,34,29,0
37119004200,0,90,10,0,0
37119004302,2,62,20,3,12
37119004303,0,35,30,15,20
37119004304,1,59,17,9,14
37119004306,0,14,57,0,29
37119004307,14,75,7,4,7
37119004400,8,44,22,4,21
37119004500,18,70,2,10,0
37119004600,0,85,7,0,7
37119004700,11,89,0,0,0
37119004800,8,52,20,0,20
37119004900,0,100,0,0,0
37119005000,5,80,9,1,6
37119005100,0,70,12,8,9
37119005200,7,81,6,0,6
37119005301,3,44,30,0,22
37119005305,0,33,34,0,33
37119005306,3,26,43,0,37
37119005307,2,35,33,3,26
37119005308,3,14,46,0,40
37119005403,7,44,35,0,13
37119005404,1,61,19,4,15
37119005405,1,81,9,0,9
37119005406,2,85,10,0,3
37119005508,35,49,9,1,5
37119005510,2,43,33,0,32
37119005511,4,87,5,0,5
37119005512,14,45,24,0,21
37119005513,33,49,5,13,0
37119005515,48,50,1,2,0
37119005516,41,56,1,1,0
37119005517,56,20,15,4,4
37119005519,25,40,10,16,11
37119005520,28,33,15,15,12
37119005522,6,46,19,7,22
37119005525,19,26,18,13,25
37119005526,10,44,29,11,7
37119005527,23,38,20,0,20
37119005528,39,59,3,0,0
37119005529,19,57,12,0,12
37119005530,16,69,4,11,0
37119005531,41,46,8,6,0
37119005532,31,28,22,19,0
37119005533,47,53,0,0,0
37119005534,0,80,0,20,0
37119005535,5,81,0,14,0
37119005536,31,39,5,24,0
37119005604,26,71,3,0,0
37119005609,0,54,23,0,23
37119005610,15,56,20,0,14
37119005611,9,76,5,5,6
37119005612,10,36,39,6,14
37119005613,3,60,23,6,10
37119005615,15,64,9,2,10
37119005616,9,71,11,1,8
37119005617,15,48,25,0,14
37119005618,30,51,17,0,4
37119005619,16,59,19,1,7
37119005621,55,30,6,4,5
37119005622,0,48,38,0,14
37119005623,5,75,12,0,8
37119005624,25,49,7,4,14
37119005625,25,52,6,17,0
37119005626,2,58,24,0,17
37119005627,7,64,17,0,13
37119005709,58,6,27,9,0
37119005710,29,44,18,3,9
37119005712,80,0,13,0,7
37119005713,66,1,19,6,11
37119005714,83,12,4,0,1
37119005715,42,13,25,0,19
37119005716,31,23,29,3,16
37119005718,43,30,11,0,15
37119005719,76,18,5,1,0
37119005720,80,0,0,20,0
37119005721,86,8,2,3,0
37119005722,41,34,12,0,12
37119005723,25,21,22,18,14
37119005811,45,3,35,4,21
37119005815,66,9,4,18,3
37119005816,63,17,13,5,3
37119005817,70,6,9,15,0
37119005824,17,35,40,2,11
37119005826,40,11,28,0,23
37119005827,2,55,30,12,0
37119005828,85,12,5,0,0
37119005829,3,46,49,0,20
37119005830,38,30,21,0,12
37119005832,77,6,10,10,0
37119005833,89,1,4,7,1
37119005834,74,11,14,1,0
37119005835,80,0,10,8,2
37119005836,52,11,33,4,3
37119005839,71,0,1,6,22
37119005840,83,11,0,5,0
37119005843,38,20,18,23,2
37119005845,25,13,9,54,0
37119005846,71,9,9,11,0
37119005847,58,8,3,30,2
37119005848,73,2,9,12,6
37119005849,61,12,2,25,0
37119005850,61,0,0,39,0
37119005851,50,11,19,13,10
37119005852,75,25,0,0,0
37119005853,13,7,69,0,10
37119005854,12,0,40,27,20
37119005855,79,5,7,10,0
37119005856,47,14,0,32,7
37119005857,48,0,0,52,0
37119005858,27,18,16,30,10
37119005859,58,11,3,28,0
37119005860,53,10,16,21,0
37119005861,77,0,2,23,0
37119005862,91,0,3,3,3
37119005863,52,25,8,11,4
37119005864,51,6,0,44,0
37119005865,58,21,19,0,3
37119005866,43,25,21,11,0
37119005867,4,39,32,19,5
37119005868,61,39,0,0,0
37119005908,59,10,8,20,5
37119005910,12,39,30,6,12
37119005913,16,33,28,18,6
37119005915,4,74,22,0,3
37119005916,1,46,39,2,17
37119005918,21,28,47,0,4
37119005919,20,16,31,2,32
37119005920,13,0,49,0,46
37119005921,21,63,13,3,0
37119005922,25,52,21,9,0
37119005923,18,45,16,24,0
37119005924,40,38,20,2,3
37119005925,34,55,14,0,4
37119005926,49,31,5,11,4
37119005927,12,66,21,0,3
37119005928,60,1,40,0,0
37119005929,28,50,15,4,3
37119005930,49,0,35,2,15
37119005931,16,39,25,0,26
37119005932,5,49,2,33,11
37119006005,27,49,18,3,5
37119006008,44,39,7,7,3
37119006009,11,65,15,1,10
37119006011,33,67,0,0,0
37119006012,6,46,11,27,10
37119006013,1,62,28,2,8
37119006014,48,32,11,2,6
37119006015,29,53,10,5,5
37119006016,0,35,29,9,26
37119006103,59,30,3,6,3
37119006105,20,66,7,2,7
37119006108,18,54,19,0,17
37119006109,0,74,12,2,12
37119006110,11,66,12,0,12
37119006111,30,45,18,0,11
37119006112,3,90,4,0,3
37119006113,37,49,6,9,0
37119006114,3,11,43,0,43
37119006115,8,76,28,0,0
37119006208,93,0,0,7,0
37119006209,81,16,3,0,0
37119006210,75,8,9,4,4
37119006211,85,8,5,2,1
37119006212,59,25,11,3,1
37119006214,80,1,16,4,0
37119006216,68,8,0,14,10
37119006217,77,18,3,0,3
37119006218,92,0,9,0,0
37119006219,90,0,7,3,0
37119006220,72,0,28,0,0
37119006221,78,8,14,0,0
37119006222,65,26,6,3,0
37119006223,52,31,13,0,4
37119006224,47,15,28,0,11
37119006305,40,29,23,8,0
37119006306,58,30,0,12,0
37119006307,63,22,7,10,0
37119006308,83,14,3,0,0
37119006309,35,19,24,0,21
37119006310,51,19,18,0,12
37119006311,89,11,0,0,0
37119006403,66,26,9,3,0
37119006404,85,8,6,1,0
37119006407,89,5,2,4,0
37119006408,80,12,8,0,0
37119006409,97,0,3,0,0
37119006410,56,9,39,0,3
37119006411,32,15,51,0,9
37119980100,NA,NA,NA,NA,NA
37119980200,NA,NA,NA,NA,NA
37119980300,NA,NA,NA,NA,NA
