school_name,location_address_1,scl_pct_nonwhite,tract_pct_nonwhite,median_gross_rent,median_owner_cost_mortgage
Albemarle Road Elementary,7800 Riding Trail Rd,98.1,89,992,1160
Alexander Graham Middle,1800 Runnymede Lane,61.9,12.4,1632,2325
Allenbrook Elementary,1430 Allenbrook Dr,96.3,94.3,991,1101
Ardrey Kell High School,10220 Ardrey Kell Road,51.3,36.7,1832,1964
Ashley Park PreK-8 School,2401 Belfast Dr,99.5,85.6,1073,886
Bailey Middle,11900 Bailey Rd,33.2,7.7,1221,2120
Bain Elementary,11540 Bain School Rd,38.1,20.1,1398,2012
Ballantyne Elementary,15425 Scholastic Dr,67,55.6,1752,1598
Berewick Elementary,5910 Dixie River Rd,89.6,68.4,790,1334
Berryhill School,10501 Windy Grove Rd,91.3,68.4,790,1334
Beverly Woods Elementary,6001 Quail Hollow Rd,33.5,16.3,1518,2036
Briarwood Academy,1001 Wilann Dr,96.5,96.5,1100,1044
Butler High School,1810 Matthews-Mint Hill Rd,68.1,17,1453,1444
Carmel Middle,5001 Camilla Dr,51.4,5.7,NA,3391
Cato Middle College High School,8120 Grier Rd   Suite 171-B,82.5,71.3,1744,1122
Char Eng Early College-UNCC,9000 Robert Snyder Rd,73.2,45.2,826,1333
Char-Meck Virtual High School,1900 Newcastle St,81.8,96.3,926,783
Charlotte Teacher Early College,9000 Robert D. Snyder Rd,86.4,45.2,826,1333
Charlotte-Mecklenburg Virtual Elementary,1900 Newcastle St,90.5,89.3,1264,951
Charlotte-Mecklenburg Virtual Middle,1900 Newcastle St,90,89.3,1264,951
Clear Creek Elementary,13501 Albemarle Rd,76.4,51.1,1537,1445
Cochrane Collegiate Academy,6200 Starhaven Dr,97.4,93.9,1046,998
Community House Middle,9500 Community House Rd,60.2,52.2,1862,2031
Cornelius Elementary,21126 Catawba Ave,36.8,44,1146,1393
Croft Community School,4911 Hucks Rd,87.1,51.1,1734,1581
Crown Point Elementary,3335 Sam Newell Rd,78.4,67,1308,1161
David Cox Road Elementary,4215 David Cox Rd,95.6,77.9,1280,1245
Davidson K-8 School,635 South St,24.9,28,1255,2189
Devonshire Elementary,6500 Barrington Dr,97.4,93.9,1046,998
Dilworth Elem Sedgefield Campus,715 Hartford Ave,34.1,18.6,1340,1998
Dilworth Elementary School: Latta Campus,405 E. Park Ave,34.1,10.7,1631,2608
Druid Hills Academy,2801 Lucena Ave,99.7,89.9,915,821
Eastover Elementary,500 Cherokee Rd,34.3,2.5,NA,4001
Elizabeth Lane Elementary,121 Elizabeth Ln,32.3,20.6,2865,1895
Elon Park Elementary,11425 Ardrey Kell Rd,58.7,55.6,1752,1598
Endhaven Elementary,6815 Endhaven Ln,61.6,32.3,1262,1963
Garinger High School,1100 Eastway Dr,96.4,53.5,1072,1851
Harper Middle College High,315 W Hebron St,66.5,94.1,1128,1009
Hawk Ridge Elementary,9201 Bryant Farms Rd,56.3,52.2,1862,2031
Hickory Grove Elementary,6709 Pence Rd,97.3,77.7,1187,1271
Hidden Valley Elementary,5100 Snow White Ln,98.4,98.6,1071,1025
Highland Creek Elementary,7242 Highland Creek Pkwy,63.6,61.5,1334,1642
Highland Renaissance Academy,125 W Craighead Rd,96.6,89,934,1217
Hornets Nest Elementary,6700 Beatties Ford Rd,97.4,87.3,1033,1191
Huntersville Elementary,200 Gilead Rd,37.6,36.2,1066,1144
Independence High School,1967 Patriot Dr,77.6,66.9,1186,1095
J. H. Gunn Elementary,7400 Harrisburg Rd,96.4,75.7,1456,1347
J.V. Washam Elementary,9611 Westmoreland Rd,31.4,44,1146,1393
James Martin Middle,6301 University Pointe Blvd,95.4,69.6,1440,1172
Jay M. Robinson Middle,5925 Ballantyne Commons Pkwy,51.7,64.6,1745,2165
Joseph W Grier Academy,8330 Grier Rd,96,71.3,1744,1122
Julius L. Chambers High School,7600 IBM Dr,97.6,69.6,1440,1172
Lake Wylie Elementary,13620 Erwin Rd,89.9,62.8,1617,1554
Lawrence Orr Elementary,4835 Shamrock Dr,96.1,84.9,1063,1223
Lebanon Road Elementary,7300 Lebanon Rd,91.5,16.2,2006,1462
Levine Middle College High Sch,2800 Campus Ridge Rd,43.3,14.6,1100,1656
Mallard Creek High School,3825 Johnston Oehler Rd,91.4,70.1,1547,1658
Martin Luther King Jr Middle,500 Bilmark Ave,98.6,92.4,940,873
Matthews Elementary,200 E McDowell St,45,27.1,1403,1687
McAlpine Elementary,9100 Carswell Ln,50.6,17.1,1182,2027
McKee Road Elementary,4101 McKee Rd,52.3,33.9,1712,2413
Merancas Middle College-CPCC,12010 Verhoeff Dr,65.3,23.5,NA,1605
Merry Oaks International Acad,3508 Draper Ave,96.1,45.1,1165,1525
Mint Hill Middle,11501 Idlewild Road,64.4,26,1131,1765
Montclaire Elementary,5801 Farmbrook Dr,95.1,39.8,1184,1688
Nations Ford Elementary,7050 Nations Ford Rd,99.3,89.3,1264,951
Newell Elementary,325 Rocky River Road West,97.8,45.2,826,1333
Niner University Elementary,2414 Lester Street,98.3,96.6,945,922
Oakdale Elementary,1825 Oakdale Rd,95.5,77.3,1618,1198
Olde Providence Elementary,3800 Rea Rd,26.4,8.9,1214,2657
Olympic High School,4301 Sandy Porter Rd,87.2,58.7,NA,1235
Palisades Park Elementary,15321 York Rd,72.6,40.5,3075,2470
Parkside Elementary,2945 Johnston-Oehler Rd,94.4,70.1,1547,1658
Performance Learning Center,2300 W Sugar Creek Road,89,69.6,1440,1172
Pineville Elementary,204 Lowry St,71.3,33,1041,1160
Pinewood Elementary,805 Seneca Pl,93,19.8,1826,1557
Piney Grove Elementary,8801 Eaglewind Dr,94.1,79.4,1229,984
Polo Ridge Elementary,11830 Tom Short Rd,53.7,64.6,1745,2165
Providence High School,1800 Pineville-Matthews Rd,32.5,49.9,1448,2362
Providence Spring Elementary,10045 Providence Church Ln,23,33.9,1712,2413
Rama Road Elementary,1035 Rama Rd,79.9,7.1,1499,2387
Reedy Creek Elementary,10801 Plaza Rd Ext,93,68.4,1562,1630
Reid Park Academy,4108 W Tyvola Rd,98.1,96.6,945,922
Renaissance West STEAM Academy,3241 New Renaissance Way,99.3,95.6,579,NA
Ridge Road Middle,7260 Highland Creek Pkwy,89.6,61.5,1334,1642
River Gate Elementary,15340 Smith Rd,79.9,69.8,1689,1545
River Oaks Academy,1015 Mt Holly-Huntersville Rd,95.3,90.7,1364,1381
Rocky River High School,10505 Clear Creek Commerce Dr,96.2,25.5,862,1488
Sedgefield Middle,2700 Dorchester Pl,60,13.2,1598,2139
Selwyn Elementary,2840 Colony Rd,28.5,12.4,1632,2325
Sharon Elementary,4330 Foxcroft Rd,24.6,14.4,1385,4001
Smithfield Elementary,3200 Smithfield Church Rd,64.5,27.4,1469,2111
South Charlotte Middle,8040 Strawberry Ln,36.9,27,1285,2367
Southwest Middle School,13624 Steele Creek Rd,87,78.3,1359,1519
Starmount Academy of Excellen,1600 Brookdale Ave,97,55.4,1161,1589
Steele Creek Elementary,4100 Gallant Ln,95.9,58.7,NA,1235
Sterling Elementary,9601 China Grove Church Rd,97.9,72.5,1256,1831
Stoney Creek Elementary,14015 Mallard Roost Rd,95.9,51.1,1238,1605
Thomasboro Academy,538 Bradford Dr,98.3,94.3,1029,876
University Meadows Elementary,1600 Pavilion Blvd,95.3,72.1,875,NA
Villa Heights Elementary,800 Everett Place,80.3,54.2,1343,1955
West Mecklenburg High School,7400 Tuckaseegee Rd,96.9,68.4,1347,1207
Westerly Hills Academy,4420 Denver Ave,98.2,85.6,1073,886
Whitewater Academy,11600 White Rapids Rd,92.5,59.7,788,1238
William Amos Hough High,12420 Bailey Rd,29.7,7.7,1221,2120
Winding Springs Elementary,6601 Horace Mann Rd,97.6,90.1,1126,1115
Windsor Park Elementary,3910 Sudbury Rd,96.7,74.7,1088,1309
Winterfield Elementary,3100 Winterfield Pl,97.4,75,1024,1272
