school_name,f_address,Match_addr,Longitude,Latitude,Addr_type,Score,Status,Region,RegionAbbr,Subregion,MetroArea,City,Nbrhd,geometry,Match_type,LongLabel,ShortLabel,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,District,Territory,Zone,Postal,PostalExt,Country,CntryName,LangCode,Distance,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo
Albemarle Road Elementary,"7800 Riding Trail Rd, Charlotte, NC 28212","7800 Riding Trail Rd, Charlotte, North Carolina, 28212",-80.73069330350943,35.19735639713796,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.73069330399994 35.19735639700008),A,"7800 Riding Trail Rd, Charlotte, NC, 28212, USA",7800 Riding Trail Rd,,,"7800 Riding Trail Rd, Charlotte, North Carolina, 28212",,,20.0,,7800,,,,,,,Riding Trail,Rd,,,,,,,,,7800 Riding Trail Rd,,,,,,28212,4616,USA,United States,ENG,0.0,-80.729361,35.197029,-80.730361,-80.72836099999999,35.196029,35.198029,
Alexander Graham Middle,"1800 Runnymede Lane, Charlotte, NC 28211","1800 Runnymede Ln, Charlotte, North Carolina, 28211",-80.83284726340231,35.16553904841513,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.83284726299996 35.16553904800003),A,"1800 Runnymede Ln, Charlotte, NC, 28211, USA",1800 Runnymede Ln,,,"1800 Runnymede Ln, Charlotte, North Carolina, 28211",,,20.0,,1800,,,,,,,Runnymede,Ln,,,,,,,,,1800 Runnymede Ln,,,,,,28211,2652,USA,United States,ENG,0.0,-80.83296,35.166825,-80.83396,-80.83196,35.165825000000005,35.167825,
Allenbrook Elementary,"1430 Allenbrook Dr, Charlotte, NC 28208","1430 Allenbrook Dr, Charlotte, North Carolina, 28208",-80.91359853219939,35.26192310877733,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.91359853199998 35.26192310900007),A,"1430 Allenbrook Dr, Charlotte, NC, 28208, USA",1430 Allenbrook Dr,,,"1430 Allenbrook Dr, Charlotte, North Carolina, 28208",,,20.0,,1430,,,,,,,Allenbrook,Dr,,,,,,,,,1430 Allenbrook Dr,,,,,,28208,1605,USA,United States,ENG,0.0,-80.915103,35.261703,-80.916103,-80.914103,35.260703,35.262702999999995,
Ardrey Kell High School,"10220 Ardrey Kell Road, Charlotte, NC 28277","10220 Ardrey Kell Rd, Charlotte, North Carolina, 28277",-80.82647450170211,35.02826583917034,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.82647450199994 35.02826583900003),A,"10220 Ardrey Kell Rd, Charlotte, NC, 28277, USA",10220 Ardrey Kell Rd,,,"10220 Ardrey Kell Rd, Charlotte, North Carolina, 28277",,,20.0,,10220,,,,,,,Ardrey Kell,Rd,,,,,,,,,10220 Ardrey Kell Rd,,,,,,28277,4328,USA,United States,ENG,0.0,-80.8268625,35.029818000000006,-80.82786250000001,-80.8258625,35.02881800000001,35.030818000000004,
Ashley Park PreK-8 School,"2401 Belfast Dr, Charlotte, NC 28208","2401 Belfast Dr, Charlotte, North Carolina, 28208",-80.89140607060439,35.23225240804398,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.89140607099995 35.23225240800008),A,"2401 Belfast Dr, Charlotte, NC, 28208, USA",2401 Belfast Dr,,,"2401 Belfast Dr, Charlotte, North Carolina, 28208",,,20.0,,2401,,,,,,,Belfast,Dr,,,,,,,,,2401 Belfast Dr,,,,,,28208,3804,USA,United States,ENG,0.0,-80.8910775,35.232786000000004,-80.8920775,-80.89007749999999,35.23178600000001,35.233786,
Bailey Middle,"11900 Bailey Rd, Cornelius, NC 28031","11900 Bailey Rd, Cornelius, North Carolina, 28031",-80.83782954729087,35.4684328497611,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Cornelius,,POINT (-80.83782954699996 35.46843285000006),A,"11900 Bailey Rd, Cornelius, NC, 28031, USA",11900 Bailey Rd,,,"11900 Bailey Rd, Cornelius, North Carolina, 28031",,,20.0,,11900,,,,,,,Bailey,Rd,,,,,,,,,11900 Bailey Rd,,,,,,28031,9124,USA,United States,ENG,0.0,-80.837505,35.467524,-80.838505,-80.83650499999999,35.466524,35.468523999999995,
Bain Elementary,"11540 Bain School Rd, Mint Hill, NC 28227","11540 Bain School Rd, Charlotte, North Carolina, 28227",-80.64779923148951,35.175164456460976,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.64779923099996 35.17516445600006),A,"11540 Bain School Rd, Charlotte, NC, 28227, USA",11540 Bain School Rd,,,"11540 Bain School Rd, Charlotte, North Carolina, 28227",,,20.0,,11540,,,,,,,Bain School,Rd,,,,,,,,,11540 Bain School Rd,,,,,,28227,7552,USA,United States,ENG,0.0,-80.6494275,35.174079000000006,-80.6504275,-80.6484275,35.17307900000001,35.175079000000004,
Ballantyne Elementary,"15425 Scholastic Dr, Charlotte, NC 28277","15425 Scholastic Dr, Charlotte, North Carolina, 28277",-80.85669730997203,35.03684224011745,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.85669730999996 35.03684224000006),A,"15425 Scholastic Dr, Charlotte, NC, 28277, USA",15425 Scholastic Dr,,,"15425 Scholastic Dr, Charlotte, North Carolina, 28277",,,20.0,,15425,,,,,,,Scholastic,Dr,,,,,,,,,15425 Scholastic Dr,,,,,,28277,4109,USA,United States,ENG,0.0,-80.85619799999999,35.037261,-80.857198,-80.85519799999999,35.036261,35.038261,
Berewick Elementary,"5910 Dixie River Rd, Charlotte, NC 28278","5910 Dixie River Rd, Charlotte, North Carolina, 28278",-80.97880597042541,35.173108868803176,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.97880596999994 35.17310886900003),A,"5910 Dixie River Rd, Charlotte, NC, 28278, USA",5910 Dixie River Rd,,,"5910 Dixie River Rd, Charlotte, North Carolina, 28278",,,20.0,,5910,,,,,,,Dixie River,Rd,,,,,,,,,5910 Dixie River Rd,,,,,,28278,9506,USA,United States,ENG,0.0,-80.9786385,35.17398,-80.97963850000001,-80.9776385,35.17298,35.17498,
Berryhill School,"10501 Windy Grove Rd, Charlotte, NC 28278","10501 Windy Grove Rd, Charlotte, North Carolina, 28278",-80.99089217147588,35.21354222419112,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.99089217099998 35.21354222400004),A,"10501 Windy Grove Rd, Charlotte, NC, 28278, USA",10501 Windy Grove Rd,,,"10501 Windy Grove Rd, Charlotte, North Carolina, 28278",,,20.0,,10501,,,,,,,Windy Grove,Rd,,,,,,,,,10501 Windy Grove Rd,,,,,,28278,9227,USA,United States,ENG,0.0,-80.990388,35.21284200000001,-80.991388,-80.98938799999999,35.21184200000001,35.21384200000001,
Beverly Woods Elementary,"6001 Quail Hollow Rd, Charlotte, NC 28210","6001 Quail Hollow Rd, Charlotte, North Carolina, 28210",-80.83807299296045,35.130903502683054,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.83807299299997 35.13090350300007),A,"6001 Quail Hollow Rd, Charlotte, NC, 28210, USA",6001 Quail Hollow Rd,,,"6001 Quail Hollow Rd, Charlotte, North Carolina, 28210",,,20.0,,6001,,,,,,,Quail Hollow,Rd,,,,,,,,,6001 Quail Hollow Rd,,,,,,28210,5032,USA,United States,ENG,0.0,-80.83700999999999,35.131392000000005,-80.83801,-80.83600999999999,35.13039200000001,35.132392,
Briarwood Academy,"1001 Wilann Dr, Charlotte, NC 28215","1001 Wilann Dr, Charlotte, North Carolina, 28215",-80.76493601915858,35.251519050291044,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.76493601899995 35.25151905000007),A,"1001 Wilann Dr, Charlotte, NC, 28215, USA",1001 Wilann Dr,,,"1001 Wilann Dr, Charlotte, North Carolina, 28215",,,20.0,,1001,,,,,,,Wilann,Dr,,,,,,,,,1001 Wilann Dr,,,,,,28215,2149,USA,United States,ENG,0.0,-80.765019,35.2521,-80.766019,-80.76401899999999,35.2511,35.253099999999996,
Butler High School,"1810 Matthews-Mint Hill Rd, Matthews, NC 28105","1810 Matthews Mint Hill Rd, Matthews, North Carolina, 28105",-80.6922693008837,35.121818553610204,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Matthews,,POINT (-80.69226930099995 35.12181855400007),A,"1810 Matthews Mint Hill Rd, Matthews, NC, 28105, USA",1810 Matthews Mint Hill Rd,,,"1810 Matthews Mint Hill Rd, Matthews, North Carolina, 28105",,,20.0,,1810,,,,,,,Matthews Mint Hill,Rd,,,,,,,,,1810 Matthews Mint Hill Rd,,,,,,28105,4649,USA,United States,ENG,0.0,-80.6910525,35.120817,-80.6920525,-80.6900525,35.119817000000005,35.121817,
Carmel Middle,"5001 Camilla Dr, Charlotte, NC 28226","5001 Camilla Dr, Charlotte, North Carolina, 28226",-80.80506922447958,35.12974257582721,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.80506922399996 35.12974257600007),A,"5001 Camilla Dr, Charlotte, NC, 28226, USA",5001 Camilla Dr,,,"5001 Camilla Dr, Charlotte, North Carolina, 28226",,,20.0,,5001,,,,,,,Camilla,Dr,,,,,,,,,5001 Camilla Dr,,,,,,28226,6760,USA,United States,ENG,0.0,-80.804484,35.12888100000001,-80.805484,-80.803484,35.12788100000001,35.129881000000005,
Cato Middle College High School,"8120 Grier Rd ÃŠ Suite 171-B, Charlotte, NC 28215","8120 Grier Rd, Charlotte, North Carolina, 28215",-80.73151169424115,35.26620225440088,PointAddress,98.87,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.73151169399995 35.26620225400006),A,"8120 Grier Rd, Charlotte, NC, 28215, USA",8120 Grier Rd,,,"8120 Grier Rd, Charlotte, North Carolina, 28215",,,20.0,,8120,,,,,,,Grier,Rd,,,,,,,,,8120 Grier Rd,,,,,,28215,,USA,United States,ENG,0.0,-80.7310755,35.265051,-80.73207550000001,-80.7300755,35.264051,35.266051,
Char Eng Early College-UNCC,"9000 Robert Snyder Rd, Charlotte, NC 28262","9000 Robert Snyder Rd, Charlotte, North Carolina, 28262",-80.74412099999999,35.308935000000005,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.74412099999995 35.30893500000008),A,"9000 Robert Snyder Rd, Charlotte, NC, 28262, USA",9000 Robert Snyder Rd,,,"9000 Robert Snyder Rd, Charlotte, North Carolina, 28262",,,20.0,,9000,,,,,,,Robert Snyder,Rd,,,,,,,,,9000 Robert Snyder Rd,,,,,,28262,5018,USA,United States,ENG,0.0,-80.74412099999999,35.308935000000005,-80.745121,-80.74312099999999,35.30793500000001,35.309935,
Char-Meck Virtual High School,"1900 Newcastle St, Charlotte, NC 28216","1900 Newcastle St, Charlotte, North Carolina, 28216",-80.84308107680815,35.25905593254094,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.84308107699997 35.25905593300007),A,"1900 Newcastle St, Charlotte, NC, 28216, USA",1900 Newcastle St,,,"1900 Newcastle St, Charlotte, North Carolina, 28216",,,20.0,,1900,,,,,,,Newcastle,St,,,,,,,,,1900 Newcastle St,,,,,,28216,4719,USA,United States,ENG,0.0,-80.84232,35.25889500000001,-80.84332,-80.84132,35.25789500000001,35.25989500000001,
Charlotte Teacher Early College,"9000 Robert D. Snyder Rd, Charlotte, NC 28262","9000 Robert Snyder Rd, Charlotte, North Carolina, 28262",-80.74412099999999,35.308935000000005,PointAddress,99.99,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.74412099999995 35.30893500000008),A,"9000 Robert Snyder Rd, Charlotte, NC, 28262, USA",9000 Robert Snyder Rd,,,"9000 Robert Snyder Rd, Charlotte, North Carolina, 28262",,,20.0,,9000,,,,,,,Robert Snyder,Rd,,,,,,,,,9000 Robert Snyder Rd,,,,,,28262,5018,USA,United States,ENG,0.0,-80.74412099999999,35.308935000000005,-80.745121,-80.74312099999999,35.30793500000001,35.309935,
Charlotte-Mecklenburg Virtual Elementary,"1900 Newcastle St, Charlotte, NC 28216","1900 Newcastle St, Charlotte, North Carolina, 28216",-80.84308107680815,35.25905593254094,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.84308107699997 35.25905593300007),A,"1900 Newcastle St, Charlotte, NC, 28216, USA",1900 Newcastle St,,,"1900 Newcastle St, Charlotte, North Carolina, 28216",,,20.0,,1900,,,,,,,Newcastle,St,,,,,,,,,1900 Newcastle St,,,,,,28216,4719,USA,United States,ENG,0.0,-80.84232,35.25889500000001,-80.84332,-80.84132,35.25789500000001,35.25989500000001,
Charlotte-Mecklenburg Virtual Middle,"1900 Newcastle St, Charlotte, NC 28216","1900 Newcastle St, Charlotte, North Carolina, 28216",-80.84308107680815,35.25905593254094,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.84308107699997 35.25905593300007),A,"1900 Newcastle St, Charlotte, NC, 28216, USA",1900 Newcastle St,,,"1900 Newcastle St, Charlotte, North Carolina, 28216",,,20.0,,1900,,,,,,,Newcastle,St,,,,,,,,,1900 Newcastle St,,,,,,28216,4719,USA,United States,ENG,0.0,-80.84232,35.25889500000001,-80.84332,-80.84132,35.25789500000001,35.25989500000001,
Clear Creek Elementary,"13501 Albemarle Rd, Charlotte, NC 28227","13501 Albemarle Rd, Charlotte, North Carolina, 28227",-80.6251156917883,35.223230709186545,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.62511569199995 35.22323070900006),A,"13501 Albemarle Rd, Charlotte, NC, 28227, USA",13501 Albemarle Rd,,,"13501 Albemarle Rd, Charlotte, North Carolina, 28227",,,20.0,,13501,,,,,,,Albemarle,Rd,,,,,,,,,13501 Albemarle Rd,,,,,,28227,6918,USA,United States,ENG,0.0,-80.6251545,35.22381300000001,-80.6261545,-80.62415449999999,35.22281300000001,35.224813000000005,
Cochrane Collegiate Academy,"6200 Starhaven Dr, Charlotte, NC 28215","6200 Starhaven Dr, Charlotte, North Carolina, 28215",-80.75029790285076,35.24718968324823,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.75029790299999 35.24718968300004),A,"6200 Starhaven Dr, Charlotte, NC, 28215, USA",6200 Starhaven Dr,,,"6200 Starhaven Dr, Charlotte, North Carolina, 28215",,,20.0,,6200,,,,,,,Starhaven,Dr,,,,,,,,,6200 Starhaven Dr,,,,,,28215,2406,USA,United States,ENG,0.0,-80.750214,35.24643900000001,-80.751214,-80.749214,35.24543900000001,35.24743900000001,
Community House Middle,"9500 Community House Rd, Charlotte, NC 28277","9500 Community House Rd, Charlotte, North Carolina, 28277",-80.82472290083155,35.03507758517441,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.82472290099997 35.03507758500007),A,"9500 Community House Rd, Charlotte, NC, 28277, USA",9500 Community House Rd,,,"9500 Community House Rd, Charlotte, North Carolina, 28277",,,20.0,,9500,,,,,,,Community House,Rd,,,,,,,,,9500 Community House Rd,,,,,,28277,1829,USA,United States,ENG,0.0,-80.82383399999999,35.036198999999996,-80.824834,-80.82283399999999,35.035199,35.037198999999994,
Cornelius Elementary,"21126 Catawba Ave, Cornelius, NC 28031","21126 Catawba Ave, Cornelius, North Carolina, 28031",-80.86396831920462,35.482973226643956,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Cornelius,,POINT (-80.86396831899998 35.48297322700006),A,"21126 Catawba Ave, Cornelius, NC, 28031, USA",21126 Catawba Ave,,,"21126 Catawba Ave, Cornelius, North Carolina, 28031",,,20.0,,21126,,,,,,,Catawba,Ave,,,,,,,,,21126 Catawba Ave,,,,,,28031,8503,USA,United States,ENG,0.0,-80.864244,35.481798,-80.865244,-80.863244,35.480798,35.482797999999995,
Croft Community School,"4911 Hucks Rd, Charlotte, NC 28269","4911 Hucks Rd, Charlotte, North Carolina, 28269",-80.80402132353245,35.34714989558009,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.80402132399996 35.34714989600008),A,"4911 Hucks Rd, Charlotte, NC, 28269, USA",4911 Hucks Rd,,,"4911 Hucks Rd, Charlotte, North Carolina, 28269",,,20.0,,4911,,,,,,,Hucks,Rd,,,,,,,,,4911 Hucks Rd,,,,,,28269,1149,USA,United States,ENG,0.0,-80.8045695,35.346492,-80.8055695,-80.8035695,35.345492,35.347491999999995,
Crown Point Elementary,"3335 Sam Newell Rd, Matthews, NC 28105","3335 Sam Newell Rd, Matthews, North Carolina, 28105",-80.7137354278368,35.16027155617768,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Matthews,,POINT (-80.71373542799995 35.16027155600005),A,"3335 Sam Newell Rd, Matthews, NC, 28105, USA",3335 Sam Newell Rd,,,"3335 Sam Newell Rd, Matthews, North Carolina, 28105",,,20.0,,3335,,,,,,,Sam Newell,Rd,,,,,,,,,3335 Sam Newell Rd,,,,,,28105,7444,USA,United States,ENG,0.0,-80.715186,35.160003,-80.71618600000001,-80.714186,35.159003000000006,35.161003,
David Cox Road Elementary,"4215 David Cox Rd, Charlotte, NC 28269","4215 David Cox Rd, Charlotte, North Carolina, 28269",-80.80076355663903,35.33803876839492,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.80076355699998 35.33803876800005),A,"4215 David Cox Rd, Charlotte, NC, 28269, USA",4215 David Cox Rd,,,"4215 David Cox Rd, Charlotte, North Carolina, 28269",,,20.0,,4215,,,,,,,David Cox,Rd,,,,,,,,,4215 David Cox Rd,,,,,,28269,8927,USA,United States,ENG,0.0,-80.8009695,35.33665500000001,-80.8019695,-80.79996949999999,35.33565500000001,35.337655000000005,
Davidson K-8 School,"635 South St, Davidson, NC 28036","635 South St, Davidson, North Carolina, 28036",-80.84927716045429,35.489955059668794,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Davidson,,POINT (-80.84927715999999 35.48995506000006),A,"635 South St, Davidson, NC, 28036, USA",635 South St,,,"635 South St, Davidson, North Carolina, 28036",,,20.0,,635,,,,,,,South,St,,,,,,,,,635 South St,,,,,,28036,8063,USA,United States,ENG,0.0,-80.8481565,35.48991600000001,-80.8491565,-80.8471565,35.48891600000001,35.490916000000006,
Devonshire Elementary,"6500 Barrington Dr, Charlotte, NC 28215","6500 Barrington Dr, Charlotte, North Carolina, 28215",-80.74508161806723,35.24548637466116,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.74508161799997 35.24548637500004),A,"6500 Barrington Dr, Charlotte, NC, 28215, USA",6500 Barrington Dr,,,"6500 Barrington Dr, Charlotte, North Carolina, 28215",,,20.0,,6500,,,,,,,Barrington,Dr,,,,,,,,,6500 Barrington Dr,,,,,,28215,2725,USA,United States,ENG,0.0,-80.7462405,35.24520600000001,-80.7472405,-80.7452405,35.24420600000001,35.24620600000001,
Dilworth Elem Sedgefield Campus,"715 Hartford Ave, Charlotte, NC 28209","715 Hartford Ave, Charlotte, North Carolina, 28209",-80.86480582849639,35.189659126896714,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.86480582799999 35.18965912700003),A,"715 Hartford Ave, Charlotte, NC, 28209, USA",715 Hartford Ave,,,"715 Hartford Ave, Charlotte, North Carolina, 28209",,,20.0,,715,,,,,,,Hartford,Ave,,,,,,,,,715 Hartford Ave,,,,,,28209,1932,USA,United States,ENG,0.0,-80.8635555,35.19027,-80.86455550000001,-80.8625555,35.18927,35.191269999999996,
Dilworth Elementary School: Latta Campus,"405 E. Park Ave, Charlotte, NC 28203","405 E Park Ave, Charlotte, North Carolina, 28203",-80.85210855698574,35.211056370852,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.85210855699995 35.21105637100004),A,"405 E Park Ave, Charlotte, NC, 28203, USA",405 E Park Ave,,,"405 E Park Ave, Charlotte, North Carolina, 28203",,,20.0,,405,,,,,E,,Park,Ave,,,,,,,,,405 E Park Ave,,,,,,28203,5143,USA,United States,ENG,0.0,-80.851581,35.21158200000001,-80.852581,-80.85058099999999,35.21058200000001,35.212582000000005,
Druid Hills Academy,"2801 Lucena Ave, Charlotte, NC 28206","2801 Lucena St, Charlotte, North Carolina, 28206",-80.82460791433463,35.25695104971414,PointAddress,98.04,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.82460791399996 35.25695105000005),A,"2801 Lucena St, Charlotte, NC, 28206, USA",2801 Lucena St,,,"2801 Lucena St, Charlotte, North Carolina, 28206",,,20.0,,2801,,,,,,,Lucena,St,,,,,,,,,2801 Lucena St,,,,,,28206,2168,USA,United States,ENG,0.0,-80.8241625,35.25730200000001,-80.8251625,-80.8231625,35.25630200000001,35.25830200000001,
Eastover Elementary,"500 Cherokee Rd, Charlotte, NC 28207","500 Cherokee Rd, Charlotte, North Carolina, 28207",-80.82091258956049,35.19663737968148,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.82091258999998 35.19663738000003),A,"500 Cherokee Rd, Charlotte, NC, 28207, USA",500 Cherokee Rd,,,"500 Cherokee Rd, Charlotte, North Carolina, 28207",,,20.0,,500,,,,,,,Cherokee,Rd,,,,,,,,,500 Cherokee Rd,,,,,,28207,2234,USA,United States,ENG,0.0,-80.82145799999999,35.19661500000001,-80.822458,-80.82045799999999,35.19561500000001,35.197615000000006,
Elizabeth Lane Elementary,"121 Elizabeth Ln, Matthews, NC 28105","121 Elizabeth Ln, Matthews, North Carolina, 28105",-80.7490828219182,35.11291943104038,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Matthews,,POINT (-80.74908282199993 35.11291943100008),A,"121 Elizabeth Ln, Matthews, NC, 28105, USA",121 Elizabeth Ln,,,"121 Elizabeth Ln, Matthews, North Carolina, 28105",,,20.0,,121,,,,,,,Elizabeth,Ln,,,,,,,,,121 Elizabeth Ln,,,,,,28105,6858,USA,United States,ENG,0.0,-80.747244,35.113032000000004,-80.748244,-80.74624399999999,35.112032000000006,35.114032,
Elon Park Elementary,"11425 Ardrey Kell Rd, Charlotte, NC 28277","11425 Ardrey Kell Rd, Charlotte, North Carolina, 28277",-80.84360457253764,35.02352555946724,PointAddress,100.0,M,North Carolina,NC,Mecklenburg County,,Charlotte,,POINT (-80.84360457299994 35.02352555900006),A,"11425 Ardrey Kell Rd, Charlotte, NC, 28277, USA",11425 Ardrey Kell Rd,,,"11425 Ardrey Kell Rd, Charlotte, North Carolina, 28277",,,20.0,,11425,,,,,,,Ardrey Kell,Rd,,,,,,,,,11425 Ardrey Kell Rd,,,,,,28277,1977,USA,United States,ENG,0.0,-80.843175,35.022825,-80.844175,-80.842175,35.021825,35.023824999999995,
